id,title,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,raw_address,street_name,street_number,floor,is_floor_under,neighborhood_id,operation,rent_price,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,full_address,latitude,longitude,subtitle
11582," Casa o chalet independiente en venta en calle Antonio Cavero, 45",200.0,190.0,4,2.0,"Calle Antonio Cavero, 45",Calle Antonio Cavero,45,,False,Neighborhood 58: Canillas (3152.53 €/m2) - District 9: Hortaleza,sale,2497,920000,4600,HouseType 2: Casa o chalet,False,False,,False,True,True,,,True,True,True,True,False,False,en trámite,False,,,False,False,False,True,"45 Calle Antonio Cavero, Madrid, Spain",40.4607079,-3.6550771,"Canillas, Madrid"
11581,"Piso en venta en calle de Oña, 13",114.0,97.0,3,2.0,"Calle de Oña, 13",Calle de Oña,13,8,False,Neighborhood 64: Virgen del Cortijo - Manoteras (3636.96 €/m2) - District 9: Hortaleza,sale,1225,310000,2719,HouseType 1: Pisos,True,False,,False,True,True,True,True,False,False,True,True,False,False,en trámite,True,False,15000.0,,,,,"13 Calle de Oña, Madrid, Spain",40.4888649,-3.6676584,"Virgen del Cortijo - Manoteras, Madrid"
11580,Piso en venta en Palomas,120.0,,3,2.0,,,,3,False,Neighborhood 60: Palomas (3773.82 €/m2) - District 9: Hortaleza,sale,1857,583000,4858,HouseType 1: Pisos,False,False,1997.0,False,True,True,True,True,False,True,False,True,False,True,en trámite,True,True,0.0,False,False,True,False,"Palomas, Madrid, Spain",40.4522376,-3.6141158,"Hortaleza, Madrid"
11579,"Piso en venta en calle de Andorra, 100 -115",116.0,105.0,3,1.0,"Calle de Andorra, 100 -115",Calle de Andorra,100 -115,Entreplanta exterior,True,Neighborhood 58: Canillas (3152.53 €/m2) - District 9: Hortaleza,sale,1225,310000,2672,HouseType 1: Pisos,False,False,1974.0,True,False,False,True,True,False,False,True,True,True,False,E,True,True,0.0,True,True,True,False,"100 -115 Calle de Andorra, Madrid, Spain",40.4606493,-3.6425385,"Canillas, Madrid"
11578,"Ático en venta en avenida de los Arces, 25",97.0,85.0,2,2.0,"Avenida de los Arces, 25",Avenida de los Arces,25,5,False,Neighborhood 60: Palomas (3773.82 €/m2) - District 9: Hortaleza,sale,1850,580000,5979,HouseType 5: Áticos,True,False,,False,True,True,True,True,False,True,True,True,True,True,D,True,True,0.0,False,False,True,True,"25 Avenida de los Arces, Madrid, Spain",40.4534273,-3.6224037,"Palomas, Madrid"
11577,"Piso en venta en calle de Félix Candela, 65",135.0,105.0,3,2.0,"Calle de Félix Candela, 65",Calle de Félix Candela,65,3,False,Neighborhood 63: Valdebebas - Valdefuentes (3607.13 €/m2) - District 9: Hortaleza,sale,1827,570000,4222,HouseType 1: Pisos,False,False,,,,True,True,True,False,True,True,True,False,True,B,True,True,0.0,False,True,False,True,"65 Calle de Félix Candela, Madrid, Spain",40.4969189,-3.6095345,"Valdebebas - Valdefuentes, Madrid"
11576,"Estudio en venta en avenida de Manoteras, 8",108.0,72.0,0,1.0,"Avenida de Manoteras, 8",Avenida de Manoteras,8,1,False,Neighborhood 64: Virgen del Cortijo - Manoteras (3636.96 €/m2) - District 9: Hortaleza,sale,910,198000,1833,,False,False,2007.0,False,True,True,True,True,False,False,False,False,False,False,en trámite,True,True,0.0,False,True,False,False,"8 Avenida de Manoteras, Madrid, Spain",40.488024,-3.6713331,"Virgen del Cortijo - Manoteras, Madrid"
11575,"Piso en venta en avenida de los Madroños, 27",285.0,,4,4.0,"Avenida de los Madroños, 27",Avenida de los Madroños,27,2,False,Neighborhood 59: Conde Orgaz-Piovera (4275.46 €/m2) - District 9: Hortaleza,sale,-14970,1814000,6365,HouseType 1: Pisos,False,False,,,,True,True,True,False,True,True,True,False,True,B,True,True,0.0,False,False,True,False,"27 Avenida de los Madroños, Madrid, Spain",40.4571983,-3.637916,"Conde Orgaz-Piovera, Madrid"
11574,"Piso en venta en calle de Navaleno, 5",282.0,235.0,5,4.0,"Calle de Navaleno, 5",Calle de Navaleno,5,5,False,Neighborhood 57: Apóstol Santiago (2679.63 €/m2) - District 9: Hortaleza,sale,2485,905000,3209,HouseType 1: Pisos,False,False,,True,False,False,True,True,False,False,True,True,False,False,E,True,True,0.0,False,True,True,True,"5 Calle de Navaleno, Madrid, Spain",,,"Apóstol Santiago, Madrid"
11573,Piso en venta en calle Nápoles,35.0,28.0,1,1.0,Calle Nápoles,Calle Nápoles,,Bajo,True,Neighborhood 58: Canillas (3152.53 €/m2) - District 9: Hortaleza,sale,698,138000,3943,HouseType 1: Pisos,False,False,,,,False,False,False,False,False,False,True,False,False,no indicado,False,,,True,False,False,True,"Calle Nápoles, Madrid, Spain",40.3305205,-3.7631476,"Canillas, Madrid"
